Frame 96: Sorpresa: 0.0021, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0027, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9950
Frame 97: Sorpresa: 0.0045, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0266, Triste: 0.0001, Disgustado: 0.0010, Feliz: 0.9677
Frame 98: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0032, Triste: 0.0001, Disgustado: 0.0004, Feliz: 0.9961
Frame 99: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0012, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9983
Frame 100: Sorpresa: 0.0007, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0025, Triste: 0.0000, Disgustado: 0.0003, Feliz: 0.9965
Frame 101: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0048, Triste: 0.0002, Disgustado: 0.0003, Feliz: 0.9946
Frame 102: Sorpresa: 0.0018, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0289, Triste: 0.0013, Disgustado: 0.0038, Feliz: 0.9641
Frame 103: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0111, Triste: 0.0001, Disgustado: 0.0004, Feliz: 0.9881
Frame 104: Sorpresa: 0.0007, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0232, Triste: 0.0025, Disgustado: 0.0055, Feliz: 0.9680
Frame 105: Sorpresa: 0.0011, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0616, Triste: 0.0011, Disgustado: 0.0074, Feliz: 0.9287
Frame 106: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0137, Triste: 0.0007, Disgustado: 0.0033, Feliz: 0.9820
Frame 107: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0213, Triste: 0.0001, Disgustado: 0.0004, Feliz: 0.9780
Frame 108: Sorpresa: 0.0019, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0231, Triste: 0.0001, Disgustado: 0.0007, Feliz: 0.9742
Frame 109: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0070, Triste: 0.0001, Disgustado: 0.0004, Feliz: 0.9923
Frame 110: Sorpresa: 0.0026, Miedo: 0.0003, Enojado: 0.0002, Neutral: 0.4382, Triste: 0.0118, Disgustado: 0.0351, Feliz: 0.5118
Frame 111: Sorpresa: 0.0014, Miedo: 0.0004, Enojado: 0.0006, Neutral: 0.0745, Triste: 0.0054, Disgustado: 0.0170, Feliz: 0.9008
Frame 112: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0066, Triste: 0.0001, Disgustado: 0.0008, Feliz: 0.9920
Frame 113: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0017, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9979
Frame 114: Sorpresa: 0.0014, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0019, Triste: 0.0000, Disgustado: 0.0004, Feliz: 0.9962
Frame 115: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0120, Triste: 0.0004, Disgustado: 0.0018, Feliz: 0.9855
Frame 116: Sorpresa: 0.0013, Miedo: 0.0003, Enojado: 0.0002, Neutral: 0.0444, Triste: 0.0021, Disgustado: 0.0208, Feliz: 0.9310
Frame 117: Sorpresa: 0.0009, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0863, Triste: 0.0009, Disgustado: 0.0056, Feliz: 0.9063
Frame 118: Sorpresa: 0.0009, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0684, Triste: 0.0005, Disgustado: 0.0028, Feliz: 0.9274
Frame 119: Sorpresa: 0.0008, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0734, Triste: 0.0005, Disgustado: 0.0021, Feliz: 0.9231
Frame 120: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0032, Triste: 0.0001, Disgustado: 0.0002, Feliz: 0.9963
Frame 121: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0027, Triste: 0.0001, Disgustado: 0.0002, Feliz: 0.9965
Frame 122: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0020, Triste: 0.0001, Disgustado: 0.0002, Feliz: 0.9972
Frame 123: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0090, Triste: 0.0007, Disgustado: 0.0016, Feliz: 0.9884
Frame 124: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0036, Triste: 0.0002, Disgustado: 0.0002, Feliz: 0.9958
Frame 125: Sorpresa: 0.0000, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0092, Triste: 0.0004, Disgustado: 0.0020, Feliz: 0.9884
Frame 126: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0063, Triste: 0.0002, Disgustado: 0.0008, Feliz: 0.9923
Frame 127: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0044, Triste: 0.0006, Disgustado: 0.0008, Feliz: 0.9941
Frame 128: Sorpresa: 0.0009, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0087, Triste: 0.0000, Disgustado: 0.0003, Feliz: 0.9901
Frame 129: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0038, Triste: 0.0001, Disgustado: 0.0003, Feliz: 0.9957
Frame 130: Sorpresa: 0.0012, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0343, Triste: 0.0000, Disgustado: 0.0010, Feliz: 0.9635
Frame 131: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0050, Triste: 0.0002, Disgustado: 0.0004, Feliz: 0.9943
Frame 132: Sorpresa: 0.0012, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0241, Triste: 0.0001, Disgustado: 0.0011, Feliz: 0.9735
Frame 133: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0035, Triste: 0.0000, Disgustado: 0.0003, Feliz: 0.9960
Frame 134: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0031, Triste: 0.0000, Disgustado: 0.0003, Feliz: 0.9964
